source,target,type,id,label,timestamp,weight
3,26,Undirected,,,,
3,29,Undirected,,,,
3,30,Undirected,,,,
3,31,Undirected,,,,
3,32,Undirected,,,,
3,33,Undirected,,,,
3,34,Undirected,,,,
3,35,Undirected,,,,
3,36,Undirected,,,,
3,39,Undirected,,,,
3,40,Undirected,,,,
3,41,Undirected,,,,
3,42,Undirected,,,,
3,43,Undirected,,,,
3,44,Undirected,,,,
3,45,Undirected,,,,
3,46,Undirected,,,,
3,47,Undirected,,,,
3,50,Undirected,,,,
3,51,Undirected,,,,
3,52,Undirected,,,,
3,67,Undirected,,,,
3,61,Undirected,,,,
3,62,Undirected,,,,
3,63,Undirected,,,,
3,64,Undirected,,,,
3,65,Undirected,,,,
3,66,Undirected,,,,
3,68,Undirected,,,,
3,69,Undirected,,,,
3,72,Undirected,,,,
3,73,Undirected,,,,
3,74,Undirected,,,,
3,75,Undirected,,,,
3,80,Undirected,,,,
3,81,Undirected,,,,
3,82,Undirected,,,,
3,83,Undirected,,,,
3,84,Undirected,,,,
3,85,Undirected,,,,
3,88,Undirected,,,,
3,89,Undirected,,,,
3,90,Undirected,,,,
3,91,Undirected,,,,
3,92,Undirected,,,,
3,94,Undirected,,,,
3,95,Undirected,,,,
3,96,Undirected,,,,
3,100,Undirected,,,,
3,101,Undirected,,,,
3,102,Undirected,,,,
3,107,Undirected,,,,
3,137,Undirected,,,,
3,138,Undirected,,,,
3,139,Undirected,,,,
3,140,Undirected,,,,
3,141,Undirected,,,,
3,142,Undirected,,,,
3,143,Undirected,,,,
3,144,Undirected,,,,
3,145,Undirected,,,,
3,146,Undirected,,,,
3,147,Undirected,,,,
3,148,Undirected,,,,
3,149,Undirected,,,,
3,150,Undirected,,,,
3,151,Undirected,,,,
3,152,Undirected,,,,
3,153,Undirected,,,,
3,154,Undirected,,,,
3,155,Undirected,,,,
3,156,Undirected,,,,
3,157,Undirected,,,,
3,158,Undirected,,,,
3,159,Undirected,,,,
3,160,Undirected,,,,
3,161,Undirected,,,,
3,162,Undirected,,,,
3,166,Undirected,,,,
3,168,Undirected,,,,
3,169,Undirected,,,,
3,170,Undirected,,,,
3,171,Undirected,,,,
3,172,Undirected,,,,
3,173,Undirected,,,,
3,179,Undirected,,,,
3,184,Undirected,,,,
3,185,Undirected,,,,
3,186,Undirected,,,,
3,187,Undirected,,,,
3,188,Undirected,,,,
3,189,Undirected,,,,
3,190,Undirected,,,,
4,1,Undirected,,,,
4,2,Undirected,,,,
4,3,Undirected,,,,
4,25,Undirected,,,,
4,29,Undirected,,,,
4,69,Undirected,,,,
4,74,Undirected,,,,
4,75,Undirected,,,,
4,83,Undirected,,,,
4,90,Undirected,,,,
4,91,Undirected,,,,
4,92,Undirected,,,,
4,93,Undirected,,,,
4,143,Undirected,,,,
4,146,Undirected,,,,
4,151,Undirected,,,,
4,155,Undirected,,,,
4,156,Undirected,,,,
4,187,Undirected,,,,
4,188,Undirected,,,,
4,189,Undirected,,,,
5,4,Undirected,,,,
6,1,Undirected,,,,
6,3,Undirected,,,,
6,17,Undirected,,,,
6,25,Undirected,,,,
6,29,Undirected,,,,
6,32,Undirected,,,,
6,104,Undirected,,,,
6,131,Undirected,,,,
6,132,Undirected,,,,
6,137,Undirected,,,,
6,138,Undirected,,,,
6,139,Undirected,,,,
6,140,Undirected,,,,
7,1,Undirected,,,,
7,18,Undirected,,,,
7,19,Undirected,,,,
7,20,Undirected,,,,
7,24,Undirected,,,,
7,103,Undirected,,,,
8,104,Undirected,,,,
9,1,Undirected,,,,
9,3,Undirected,,,,
9,6,Undirected,,,,
9,8,Undirected,,,,
9,25,Undirected,,,,
9,29,Undirected,,,,
9,85,Undirected,,,,
9,104,Undirected,,,,
9,191,Undirected,,,,
9,28,Undirected,,,,
9,193,Undirected,,,,
9,144,Undirected,,,,
9,143,Undirected,,,,
10,1,Undirected,,,,
10,3,Undirected,,,,
10,12,Undirected,,,,
10,29,Undirected,,,,
10,6,Undirected,,,,
10,97,Undirected,,,,
10,99,Undirected,,,,
10,118,Undirected,,,,
10,119,Undirected,,,,
10,122,Undirected,,,,
10,123,Undirected,,,,
10,125,Undirected,,,,
10,126,Undirected,,,,
10,127,Undirected,,,,
10,128,Undirected,,,,
10,130,Undirected,,,,
10,129,Undirected,,,,
10,132,Undirected,,,,
10,104,Undirected,,,,
10,133,Undirected,,,,
11,3,Undirected,,,,
11,29,Undirected,,,,
12,1,Undirected,,,,
12,10,Undirected,,,,
12,97,Undirected,,,,
12,99,Undirected,,,,
12,118,Undirected,,,,
12,119,Undirected,,,,
12,122,Undirected,,,,
12,125,Undirected,,,,
12,142,Undirected,,,,
12,193,Undirected,,,,
12,194,Undirected,,,,
12,195,Undirected,,,,
13,1,Undirected,,,,
14,29,Undirected,,,,
14,143,Undirected,,,,
14,193,Undirected,,,,
15,1,Undirected,,,,
15,3,Undirected,,,,
15,30,Undirected,,,,
16,3,Undirected,,,,
16,2,Undirected,,,,
16,1,Undirected,,,,
16,18,Undirected,,,,
16,19,Undirected,,,,
16,41,Undirected,,,,
16,42,Undirected,,,,
16,43,Undirected,,,,
16,44,Undirected,,,,
16,45,Undirected,,,,
16,47,Undirected,,,,
16,48,Undirected,,,,
16,159,Undirected,,,,
16,152,Undirected,,,,
16,153,Undirected,,,,
16,196,Undirected,,,,
16,50,Undirected,,,,
16,29,Undirected,,,,
16,25,Undirected,,,,
17,1,Undirected,,,,
17,3,Undirected,,,,
25,1,Undirected,,,,
25,2,Undirected,,,,
25,3,Undirected,,,,
25,6,Undirected,,,,
25,16,Undirected,,,,
25,29,Undirected,,,,
25,36,Undirected,,,,
25,58,Undirected,,,,
25,59,Undirected,,,,
25,10,Undirected,,,,
25,131,Undirected,,,,
25,132,Undirected,,,,
25,144,Undirected,,,,
25,143,Undirected,,,,
25,135,Undirected,,,,
98,108,Undirected,,,,
98,109,Undirected,,,,
109,111,Undirected,,,,
109,112,Undirected,,,,
109,110,Undirected,,,,
109,113,Undirected,,,,
109,115,Undirected,,,,
113,114,Undirected,,,,
115,116,Undirected,,,,
115,117,Undirected,,,,
115,118,Undirected,,,,
115,119,Undirected,,,,
119,1,Undirected,,,,
119,99,Undirected,,,,
119,97,Undirected,,,,
119,125,Undirected,,,,
119,120,Undirected,,,,
119,128,Undirected,,,,
119,10,Undirected,,,,
119,12,Undirected,,,,
119,124,Undirected,,,,
120,124,Undirected,,,,
120,121,Undirected,,,,
120,117,Undirected,,,,
124,120,Undirected,,,,
124,117,Undirected,,,,
